epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
72,603.752,0.89074,1.10042,0.77311,1.02726,0,0.63788,0.39161,0.42991,0.24787,0.58016,0.35664,0.35847,0.11721,1.4863,1.09611,1.87889,1.35024,0,0.0010628,0.0010628,0.0010628
73,611.25,0.89605,1.1695,0.7889,1.02365,0,0.69791,0.35664,0.40546,0.24565,0.6338,0.32168,0.33782,0.09731,1.50403,1.11698,1.88118,1.36758,0,0.0010496,0.0010496,0.0010496
74,618.566,0.88708,1.02674,0.81584,1.01909,0,0.58583,0.43357,0.42527,0.26184,0.52168,0.34266,0.30496,0.09044,1.42943,1.17467,1.7644,1.3314,0,0.0010364,0.0010364,0.0010364
75,628.619,0.91965,1.09393,0.84372,1.03978,0,0.66171,0.3986,0.45846,0.2745,0.54939,0.34965,0.32941,0.10907,1.44378,1.09221,1.69011,1.34523,0,0.0010232,0.0010232,0.0010232
76,636.594,0.88095,1.10187,0.80035,1.01957,0,0.74083,0.37063,0.46869,0.29087,0.69723,0.34965,0.35521,0.11228,1.37184,1.15355,1.57967,1.28935,0,0.00101,0.00101,0.00101
77,644.045,0.94358,1.10563,0.83912,1.04091,0,0.56984,0.47552,0.46353,0.29082,0.58758,0.34965,0.3246,0.09903,1.37577,1.14426,1.59803,1.26981,0,0.0009968,0.0009968,0.0009968
78,653.162,0.8958,1.11404,0.82156,1.01966,0,0.72318,0.42657,0.46611,0.28172,0.67067,0.37027,0.35657,0.10765,1.45333,1.17695,1.65694,1.34109,0,0.0009836,0.0009836,0.0009836
79,661.518,0.97584,1.15876,0.8644,1.07103,0,0.71156,0.37063,0.44528,0.27382,0.54742,0.28671,0.2725,0.0804,1.48188,1.14631,1.66742,1.37449,0,0.0009704,0.0009704,0.0009704
80,669.561,0.88734,1.147,0.77381,0.99656,0,0.72687,0.38462,0.47442,0.29925,0.57344,0.36364,0.33672,0.10192,1.38831,1.11935,1.64134,1.32765,0,0.0009572,0.0009572,0.0009572
81,676.468,0.87214,1.08984,0.73871,1.00149,0,0.63646,0.40559,0.45009,0.26243,0.55176,0.33566,0.31543,0.09464,1.41197,1.13167,1.61434,1.30031,0,0.000944,0.000944,0.000944
82,684.476,0.89591,1.13928,0.74193,1.02039,0,0.41165,0.5035,0.43882,0.26482,0.51046,0.3007,0.2735,0.07752,1.39759,1.15111,1.68898,1.29334,0,0.0009308,0.0009308,0.0009308
83,692.956,0.83938,1.0839,0.7206,1.00737,0,0.49075,0.4965,0.46994,0.3067,0.52393,0.32867,0.31798,0.1052,1.41369,1.11094,1.64479,1.32069,0,0.0009176,0.0009176,0.0009176
84,701.013,0.93154,1.03468,0.79712,1.03323,0,0.44058,0.45163,0.41074,0.24621,0.43758,0.29371,0.25245,0.06803,1.47303,1.2128,1.74603,1.30333,0,0.0009044,0.0009044,0.0009044
85,708.933,0.92608,1.11468,0.78605,1.03507,0,0.52902,0.4965,0.48472,0.30514,0.44038,0.37762,0.30027,0.09376,1.34736,1.14734,1.57634,1.28162,0,0.0008912,0.0008912,0.0008912
86,718.834,0.85257,1.076,0.76584,1.02241,0,0.55484,0.44755,0.4705,0.29081,0.60986,0.31469,0.31177,0.08725,1.36954,1.17422,1.62012,1.31836,0,0.000878,0.000878,0.000878
87,725.306,0.87755,1.08787,0.76635,1.00384,0,0.62495,0.47776,0.47681,0.2986,0.66461,0.34965,0.34903,0.12443,1.38814,1.12947,1.62789,1.33341,0,0.0008648,0.0008648,0.0008648
88,733.513,0.87073,1.09196,0.72046,0.9909,0,0.64163,0.43357,0.4774,0.30873,0.65473,0.32168,0.33455,0.10645,1.38842,1.13003,1.58005,1.3393,0,0.0008516,0.0008516,0.0008516
89,740.434,0.86658,1.0997,0.72411,0.99504,0,0.67633,0.38462,0.45046,0.28295,0.61072,0.32867,0.31152,0.10859,1.39879,1.09993,1.68824,1.28697,0,0.0008384,0.0008384,0.0008384
90,750.312,0.8442,1.02604,0.72656,0.99178,0,0.71687,0.39161,0.48148,0.31522,0.631,0.34266,0.33799,0.10957,1.35151,1.096,1.58781,1.29282,0,0.0008252,0.0008252,0.0008252
91,757.49,0.81363,1.11642,0.71384,0.99765,0,0.48977,0.45455,0.38017,0.23922,0.42353,0.39048,0.29498,0.0908,1.44252,1.12363,1.82574,1.35145,0,0.000812,0.000812,0.000812
92,765.838,0.79826,1.02069,0.66522,0.9925,0,0.50936,0.47191,0.45236,0.29046,0.6008,0.30769,0.28723,0.0841,1.40857,1.12434,1.56749,1.3135,0,0.0007988,0.0007988,0.0007988
93,772.659,0.83467,1.1106,0.71139,1.00276,0,0.65158,0.44056,0.48623,0.31206,0.66418,0.33566,0.34561,0.10764,1.36811,1.12222,1.6282,1.27767,0,0.0007856,0.0007856,0.0007856
94,781.95,0.82363,1.05677,0.7749,1.00977,0,0.55248,0.45455,0.44155,0.2856,0.63365,0.31469,0.31837,0.09878,1.42155,1.10592,1.72612,1.33326,0,0.0007724,0.0007724,0.0007724
95,788.994,0.78714,1.08732,0.70619,0.98093,0,0.68473,0.44056,0.47804,0.31381,0.60657,0.34266,0.3408,0.12111,1.37102,1.1372,1.63689,1.31969,0,0.0007592,0.0007592,0.0007592
96,797.711,0.793,1.05101,0.68929,0.97224,0,0.64389,0.43357,0.47524,0.32289,0.57819,0.37386,0.34682,0.11318,1.36741,1.16324,1.53999,1.28603,0,0.000746,0.000746,0.000746
97,804.182,0.76745,1.09178,0.65896,0.95553,0,0.68451,0.44755,0.45566,0.30138,0.61716,0.38462,0.35005,0.11111,1.35131,1.16024,1.57949,1.26636,0,0.0007328,0.0007328,0.0007328
98,814.45,0.79391,1.05016,0.65006,0.97777,0,0.66186,0.44755,0.46589,0.30339,0.64403,0.36364,0.35159,0.10531,1.37315,1.16565,1.56071,1.26537,0,0.0007196,0.0007196,0.0007196
99,821.266,0.82571,1.11645,0.7541,1.00003,0,0.65877,0.44056,0.47654,0.31753,0.6153,0.40559,0.37483,0.11911,1.35955,1.1306,1.58891,1.26009,0,0.0007064,0.0007064,0.0007064
100,829.681,0.81837,1.12621,0.67302,0.98382,0,0.79177,0.39161,0.47939,0.31988,0.71283,0.34965,0.3659,0.11815,1.41808,1.13837,1.49559,1.30301,0,0.0006932,0.0006932,0.0006932
101,836.509,0.79877,0.99281,0.6591,0.98557,0,0.72537,0.3986,0.48409,0.32869,0.6698,0.36364,0.37998,0.12247,1.38328,1.11501,1.52109,1.27739,0,0.00068,0.00068,0.00068
102,844.81,0.7887,1.0926,0.68284,0.97379,0,0.68914,0.41958,0.47062,0.32357,0.70581,0.34965,0.36414,0.12165,1.34279,1.11778,1.58902,1.27113,0,0.0006668,0.0006668,0.0006668
103,854.285,0.77697,1.0682,0.64243,0.98149,0,0.6074,0.43357,0.45493,0.32721,0.55224,0.37063,0.33482,0.1007,1.28138,1.11566,1.58156,1.23549,0,0.0006536,0.0006536,0.0006536
104,863.317,0.79112,1.02276,0.67736,0.96337,0,0.73351,0.40422,0.45872,0.31859,0.69086,0.37063,0.35772,0.11773,1.27919,1.13213,1.5871,1.21649,0,0.0006404,0.0006404,0.0006404
105,869.953,0.78493,1.09334,0.63968,0.9599,0,0.7205,0.40559,0.45043,0.30786,0.63293,0.35664,0.33705,0.11343,1.33979,1.11869,1.57609,1.24754,0,0.0006272,0.0006272,0.0006272
106,878.486,0.75567,1.06012,0.63081,0.96049,0,0.57593,0.51049,0.49115,0.33395,0.52505,0.44755,0.38667,0.13492,1.28679,1.13214,1.47962,1.22241,0,0.000614,0.000614,0.000614
107,886.233,0.75879,1.04515,0.62579,0.9489,0,0.76429,0.41259,0.48714,0.35063,0.70476,0.37063,0.37767,0.13635,1.24661,1.14603,1.51154,1.2375,0,0.0006008,0.0006008,0.0006008
108,896.564,0.79618,1.18325,0.63506,0.99466,0,0.70821,0.40559,0.45714,0.3164,0.65837,0.37762,0.36642,0.13584,1.27336,1.15694,1.53196,1.23916,0,0.0005876,0.0005876,0.0005876
109,903.074,0.79741,1.0372,0.64738,0.99213,0,0.74876,0.37762,0.46538,0.32212,0.62326,0.3355,0.31371,0.10995,1.30196,1.16564,1.55427,1.2332,0,0.0005744,0.0005744,0.0005744
110,912.673,0.76774,1.04402,0.625,0.96235,0,0.75616,0.37762,0.47294,0.32398,0.68402,0.32867,0.35301,0.11611,1.31202,1.1162,1.57497,1.2691,0,0.0005612,0.0005612,0.0005612
111,920.162,0.76098,1.03924,0.6593,0.96578,0,0.64069,0.46138,0.48658,0.33983,0.55126,0.39519,0.35532,0.12572,1.27754,1.1211,1.57814,1.26626,0,0.000548,0.000548,0.000548
112,928.522,0.79973,1.04296,0.6797,0.97569,0,0.59545,0.45455,0.4599,0.32814,0.52146,0.3986,0.33005,0.1094,1.26685,1.11041,1.56684,1.27454,0,0.0005348,0.0005348,0.0005348
113,935.421,0.74087,1.07036,0.6207,0.96898,0,0.53433,0.47552,0.46141,0.3195,0.59588,0.35664,0.34527,0.11689,1.2744,1.09873,1.60799,1.25727,0,0.0005216,0.0005216,0.0005216
114,943.873,0.74328,1.06656,0.62102,0.96454,0,0.77409,0.37762,0.45816,0.32613,0.65724,0.32168,0.32434,0.10808,1.23037,1.08901,1.56831,1.22742,0,0.0005084,0.0005084,0.0005084
115,950.934,0.73094,1.04606,0.59424,0.94901,0,0.61234,0.45455,0.4728,0.33665,0.53364,0.3986,0.35025,0.11424,1.25644,1.15618,1.5708,1.22825,0,0.0004952,0.0004952,0.0004952
116,959.439,0.75192,0.99833,0.61595,0.97173,0,0.74151,0.40123,0.4774,0.33695,0.57273,0.38433,0.34222,0.11305,1.25582,1.13488,1.59005,1.24871,0,0.000482,0.000482,0.000482
117,966.676,0.76474,1.08636,0.64992,0.95843,0,0.66149,0.41958,0.46597,0.32694,0.60713,0.34965,0.33112,0.11262,1.26631,1.12825,1.57298,1.24112,0,0.0004688,0.0004688,0.0004688
118,974.891,0.76065,1.07992,0.64487,0.97437,0,0.72862,0.41259,0.48552,0.33164,0.64803,0.36364,0.35722,0.13188,1.23629,1.14724,1.55337,1.22166,0,0.0004556,0.0004556,0.0004556
119,981.621,0.72326,1.01678,0.60166,0.9579,0,0.75923,0.41899,0.47306,0.32581,0.67045,0.34266,0.33746,0.12513,1.24265,1.15533,1.55849,1.23029,0,0.0004424,0.0004424,0.0004424
120,989.584,0.76622,1.03496,0.61709,0.95944,0,0.7031,0.41958,0.47207,0.32609,0.59123,0.39161,0.36678,0.13004,1.22077,1.1443,1.58277,1.23014,0,0.0004292,0.0004292,0.0004292
121,996.363,0.72707,1.04631,0.60592,0.96329,0,0.63993,0.45986,0.47049,0.32656,0.55151,0.39558,0.35948,0.12434,1.24001,1.16413,1.60529,1.23241,0,0.000416,0.000416,0.000416
122,1005.08,0.71092,1.02549,0.60501,0.94803,0,0.67633,0.42657,0.47415,0.33529,0.59789,0.37063,0.34386,0.12596,1.24832,1.1626,1.59743,1.23909,0,0.0004028,0.0004028,0.0004028
123,1011.78,0.71294,1.01356,0.56962,0.93759,0,0.65521,0.43357,0.48208,0.33764,0.68164,0.33566,0.33864,0.11933,1.23184,1.15894,1.58275,1.25556,0,0.0003896,0.0003896,0.0003896
